nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah target kasus tb,jumlah penderita tb,jumlah_penduduk_wni_wna,jumlah_kepadatan,Garis Kemiskinan (rupiah/kapita/bulan),Jumlah Penduduk Miskin (ribu),Persentase Penduduk Miskin,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus
KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,83,12,"7,257","7,799",197776.3116,0.613342929,2.35811137,1,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,85,7,"7,432","7,823",202545.6177,0.628133478,2.414976395,0,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,31,8,"2,756",578,75109.75813,0.232930014,0.895542915,0,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,30,3,"2,647","1,891",72139.16175,0.223717615,0.860124128,0,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,70,3,"6,158","5,402",167825.0692,0.520458282,2.00099901,0,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,43,6,"3,772","2,232",102798.9868,0.318799714,1.225685006,0,0
JAKARTA PUSAT,GAMBIR,GAMBIR,97,24,"3,766","1,469",2038.018826,0.124217275,0.013610569,0,2
JAKARTA PUSAT,GAMBIR,CIDENG,455,112,"18,021","14,172",9752.293483,0.594402418,0.065129066,1,1
JAKARTA PUSAT,GAMBIR,PETOJO UTARA,531,131,"20,845","18,257",11280.53702,0.687548882,0.075335186,0,1
JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,457,113,"17,764","15,432",9613.214662,0.585925562,0.064200252,0,1
JAKARTA PUSAT,GAMBIR,KEBON KELAPA,305,75,"11,938","15,077",6460.400621,0.393761504,0.043144709,0,
JAKARTA PUSAT,GAMBIR,DURI PULO,615,152,"23,947","34,670",12959.2238,0.789864863,0.086546016,0,
JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,385,95,"14,756","8,321",7985.397183,0.486710065,0.053329144,0,
JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,817,202,"31,453","66,887",17021.19122,1.037441832,0.113673188,1,1
JAKARTA PUSAT,SAWAH BESAR,KARTINI,714,176,"26,429","46,328",14302.38968,0.871730842,0.095516125,0,
JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,550,136,"19,884","15,010",10760.47964,0.655851378,0.07186207,0,
JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,925,228,"34,021","25,857",18410.8971,1.122144424,0.122954107,1,1
JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,694,171,"25,344","42,198",13715.22812,0.835943337,0.091594865,0,
JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,1031,254,"37,965","37,445",20545.24289,1.252232828,0.13720798,1,
JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,781,193,"28,228","53,249",15275.94143,0.931068834,0.102017828,0,
JAKARTA PUSAT,KEMAYORAN,SERDANG,1036,256,"36,998","45,101",20021.93853,1.220337421,0.133713179,1,
JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,649,160,"23,219","14,765",12565.25733,0.765852602,0.083914977,1,
JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1117,276,"40,597","41,831",21969.58318,1.339046388,0.146720199,,1
JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,783,193,"28,133","24,180",15224.53097,0.927935366,0.101674492,,
JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,1021,252,"36,886","68,274",19961.32831,1.216643227,0.133308404,,
JAKARTA PUSAT,SENEN,SENEN,239,59,"8,217","9,974",4446.734118,0.271028504,0.029696773,1,
JAKARTA PUSAT,SENEN,KENARI,334,82,"11,501","12,627",6223.91251,0.379347551,0.041565362,2,3
JAKARTA PUSAT,SENEN,PASEBAN,847,209,"28,986","34,079",15686.14277,0.956070611,0.10475729,2,
JAKARTA PUSAT,SENEN,KRAMAT,1036,256,"35,511","49,997",19217.22956,1.171290398,0.128339064,,
JAKARTA PUSAT,SENEN,KWITANG,570,141,"18,894","41,971",10224.72854,0.623197341,0.068284145,,
JAKARTA PUSAT,SENEN,BUNGUR,686,169,"22,024","32,858",11918.56787,0.726436871,0.079596169,,
JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,893,220,"28,520","12,936",15433.96094,0.940700126,0.103073135,4,
JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1369,338,"43,831","34,479",23719.70344,1.445716241,0.158408085,,
JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,805,199,"26,363","21,240",14266.67294,0.869553906,0.095277597,1,
JAKARTA PUSAT,MENTENG,MENTENG,953,235,"30,761","12,536",16646.70661,1.01461699,0.111172255,1,1
JAKARTA PUSAT,MENTENG,PEGANGSAAN,876,216,"28,265","29,102",15295.96445,0.932289237,0.102151549,,2
JAKARTA PUSAT,MENTENG,CIKINI,312,77,"9,904","12,370",5359.675637,0.326672302,0.0357937,1,
JAKARTA PUSAT,MENTENG,GONDANGDIA,146,36,"4,597","3,063",2487.725051,0.151626875,0.016613857,1,3
JAKARTA PUSAT,MENTENG,KEBON SIRIH,461,114,"14,736","16,929",7974.573928,0.486050387,0.053256863,1,
JAKARTA PUSAT,TANAH ABANG,GELORA,120,30,"3,815","1,122",2064.535799,0.125833485,0.013787658,,
JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,798,197,"25,848","16,131",13987.97414,0.852567211,0.093416354,1,1
JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,732,181,"24,079","15,466",13030.65728,0.794218735,0.087023072,2,
JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,1230,303,"41,273","46,338",22335.40918,1.361343488,0.149163307,,
JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1192,294,"40,131","31,786",21717.40135,1.323675902,0.145036045,,
JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,780,193,"26,298","35,497",14231.49736,0.867409954,0.095042683,,
JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,416,103,"13,667","19,501",7396.070974,0.450790625,0.049393427,,
JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,1391,343,"45,032","38,142",24369.63987,1.485329876,0.162748578,,
JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,837,206,"26,440","91,155",14308.34247,0.872093665,0.09555588,,
JAKARTA PUSAT,JOHAR BARU,GALUR,750,185,"22,013","75,900",11912.61508,0.726074049,0.079556414,,
JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,1673,413,"46,980","74,538",25423.82486,1.549582465,0.169788776,1,
JAKARTA UTARA,PENJARINGAN,PENJARINGAN,4552,1541,"114,534","24,775",113282.4071,23.471535,1.270723947,23,2
JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,718,243,"17,827","1,560",17632.19194,3.653299932,0.197785774,0,1
JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,1852,627,"46,979","5,117",46465.62771,9.627440259,0.521219378,1,0
JAKARTA UTARA,PENJARINGAN,PEJAGALAN,3530,1195,"91,307","24,521",90309.22474,18.71160918,1.013026624,1,1
JAKARTA UTARA,PENJARINGAN,PLUIT,2254,763,"59,142","7,566",58495.71413,12.1200126,0.656164594,1,0
JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,1589,538,"43,670","11,598",43192.78746,8.949324509,0.484506913,2,0
JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,2768,937,"80,289","15,393",79411.62611,16.45368252,0.890784876,0,0
